name,lat,lon,open,closing,income,id,amount
"Aegerion Pharmaceuticals, Inc.",42.362263,-71.079605,9,5,3,123,40
"Akashi Therapeutics, Inc.",42.3638,-71.079666,9,5,3,110,20
"Akebia Therapeutics, Inc.",42.363758,-71.07951,9,5,3,110,21
"Akrivis Technologies, LLC",42.363,-71.08358,9,5,3,99,43
Alexion Pharmaceuticals,42.365986,-71.07584,9,5,3,198,23
Alnylam Pharmaceuticals,42.365257,-71.08195,9,5,3,114,22
AOBiome,42.362846,-71.08318,9,5,3,99,31
Arteaus Therapeutics,42.369457,-71.07753,9,5,1,44,5
Bank of America,42.3614,-71.06543,9,5,2,226,37
Bank Of America,42.362103,-71.084366,9,5,2,131,38
Bayer Diagnostics,42.36617,-71.08143,9,5,3,79,19
Boston Shriners Hospital,42.36321,-71.06638,9,5,3,258,25
Cambridge Fire Department,42.371178,-71.07878,9,5,2,10,32
Cambridge Trust Company,42.362316,-71.08685,9,5,3,132,29
Charles MGH,42.361164,-71.070625,9,5,3,228,25
Charles River Park Cleaners,42.364925,-71.06657,9,5,1,259,10
Constellation Pharmaceuticals,42.36434,-71.07875,9,5,3,116,37
CVS,42.36201,-71.06573,9,5,2,240,31
Dewey Library,42.361404,-71.08341,9,5,2,149,28
Eastern Bank,42.362617,-71.083885,9,5,2,95,38
Eleven Biotherapeutics,42.364185,-71.07872,9,5,3,116,24
Facebook Boston,42.362633,-71.08366,9,5,3,95,44
"Foundation Medicine, Inc. Headquarters",42.36721,-71.079216,9,5,3,70,19
Google,42.36277,-71.08726,9,5,3,128,6
Harrison Lyman Library,42.367256,-71.07051,9,5,2,174,40
Hotel Marlowe,42.367912,-71.07493,9,5,1,179,6
"Idenix Pharmaceuticals, Inc.",42.367542,-71.087585,9,5,3,75,22
Information Resource Center,42.362125,-71.084564,9,5,2,131,28
InterSystems Corporation,42.3615,-71.08136,9,5,2,152,38
Intrepid Labs,42.36622,-71.07759,9,5,3,74,34
Kendall/MIT,42.362255,-71.08623,9,5,2,134,41
Lunder Emergency Room,42.362736,-71.0691,9,5,2,243,26
Massachusetts Eye and Ear Infirmary Libraries,42.362633,-71.07033,9,5,2,218,40
"Microsoft ",42.36253,-71.08491,9,5,3,128,21
Middlesex County Sheriff,42.369408,-71.0795,9,5,2,43,29
Middlesex Law Library,42.36948,-71.0794,9,5,1,43,10
MIT Coop,42.36268,-71.086395,9,5,1,128,8
MIT Medical,42.36124,-71.08654,9,5,3,135,22
Moderna Pharmaceuticals,42.367493,-71.087395,9,5,3,75,20
New England Sports Museum,42.367596,-71.07449,9,5,1,197,4
Palmer-Davis Library,42.36315,-71.069496,9,5,2,218,22
Post Office,42.362137,-71.08447,9,5,1,131,10
Rowland Research Institute,42.363987,-71.07783,9,5,3,199,35
Royal Sonesta Hotel,42.36679,-71.074844,9,5,2,198,30
Shriners Burn Institute,42.36315,-71.06672,9,5,3,258,37
Starbucks,42.363846,-71.08782,9,5,1,230,6
,,,,,,,
TD Bank,42.36102,-71.06778,9,5,2,232,33
Treadwell Library,42.36273,-71.06741,9,5,2,248,32
Virtual Knowledge Workers,42.362743,-71.083786,9,5,3,95,19
VMware,42.362724,-71.087234,9,5,3,128,19
Wang Ambulatory Care Center,42.36258,-71.06825,9,5,2,247,41
Wyndham Boston Beacon Hill,42.36167,-71.06663,9,5,1,240,12
Bailey and Sage,42.36279,-71.086586,7,5,1,128,12
