name,lat,lon,open,closing,income,id,amount
"Aegerion Pharmaceuticals, Inc.",42.362263,-71.079605,9,5,3,123,79
"Akashi Therapeutics, Inc.",42.3638,-71.079666,9,5,3,110,39
"Akebia Therapeutics, Inc.",42.363758,-71.07951,9,5,3,110,41
"Akrivis Technologies, LLC",42.363,-71.08358,9,5,3,99,85
Alexion Pharmaceuticals,42.365986,-71.07584,9,5,3,198,45
Alnylam Pharmaceuticals,42.365257,-71.08195,9,5,3,114,44
AOBiome,42.362846,-71.08318,9,5,3,99,62
Arteaus Therapeutics,42.369457,-71.07753,9,5,1,44,10
Bank of America,42.3614,-71.06543,9,5,2,226,73
Bank Of America,42.362103,-71.084366,9,5,2,131,75
Bayer Diagnostics,42.36617,-71.08143,9,5,3,79,38
Boston Shriners Hospital,42.36321,-71.06638,9,5,3,258,50
Cambridge Fire Department,42.371178,-71.07878,9,5,2,10,64
Cambridge Trust Company,42.362316,-71.08685,9,5,3,132,57
Charles MGH,42.361164,-71.070625,9,5,3,228,50
Charles River Park Cleaners,42.364925,-71.06657,9,5,1,259,20
Constellation Pharmaceuticals,42.36434,-71.07875,9,5,3,116,73
CVS,42.36201,-71.06573,9,5,2,240,62
Dewey Library,42.361404,-71.08341,9,5,2,149,56
Eastern Bank,42.362617,-71.083885,9,5,2,95,75
Eleven Biotherapeutics,42.364185,-71.07872,9,5,3,116,47
Facebook Boston,42.362633,-71.08366,9,5,3,95,87
"Foundation Medicine, Inc. Headquarters",42.36721,-71.079216,9,5,3,70,37
Google,42.36277,-71.08726,9,5,3,128,11
Harrison Lyman Library,42.367256,-71.07051,9,5,2,174,80
Hotel Marlowe,42.367912,-71.07493,9,5,1,179,12
"Idenix Pharmaceuticals, Inc.",42.367542,-71.087585,9,5,3,75,43
Information Resource Center,42.362125,-71.084564,9,5,2,131,56
InterSystems Corporation,42.3615,-71.08136,9,5,2,152,76
Intrepid Labs,42.36622,-71.07759,9,5,3,74,67
Kendall/MIT,42.362255,-71.08623,9,5,2,134,81
Lunder Emergency Room,42.362736,-71.0691,9,5,2,243,52
Massachusetts Eye and Ear Infirmary Libraries,42.362633,-71.07033,9,5,2,218,80
"Microsoft ",42.36253,-71.08491,9,5,3,128,41
Middlesex County Sheriff,42.369408,-71.0795,9,5,2,43,58
Middlesex Law Library,42.36948,-71.0794,9,5,1,43,20
MIT Coop,42.36268,-71.086395,9,5,1,128,16
MIT Medical,42.36124,-71.08654,9,5,3,135,44
Moderna Pharmaceuticals,42.367493,-71.087395,9,5,3,75,40
New England Sports Museum,42.367596,-71.07449,9,5,1,197,8
Palmer-Davis Library,42.36315,-71.069496,9,5,2,218,43
Post Office,42.362137,-71.08447,9,5,1,131,19
Rowland Research Institute,42.363987,-71.07783,9,5,3,199,70
Royal Sonesta Hotel,42.36679,-71.074844,9,5,2,198,60
Shriners Burn Institute,42.36315,-71.06672,9,5,3,258,73
Starbucks,42.363846,-71.08782,9,5,1,230,12
,,,,,,,
TD Bank,42.36102,-71.06778,9,5,2,232,66
Treadwell Library,42.36273,-71.06741,9,5,2,248,64
Virtual Knowledge Workers,42.362743,-71.083786,9,5,3,95,38
VMware,42.362724,-71.087234,9,5,3,128,37
Wang Ambulatory Care Center,42.36258,-71.06825,9,5,2,247,81
Wyndham Boston Beacon Hill,42.36167,-71.06663,9,5,1,240,24
Bailey and Sage,42.36279,-71.086586,7,5,1,128,24
