start,end,speed,length,capacity
2,1,18,339.36642,45
3,2,18,132.36055,17
3,27,13,77.16918,10
4,3,18,62.330135,8
5,4,18,51.08035,6
5,29,13,79.90105,10
6,5,18,60.335346,8
7,6,18,138.68153,18
8,7,18,136.8299,18
9,8,18,137.44763,18
10,9,18,103.49237,13
11,10,18,35.597378,4
11,12,18,104.394516,13
13,6,13,81.037315,10
14,7,13,79.15019,10
14,13,13,137.7486,18
15,8,13,78.53418,10
15,14,13,138.21155,18
16,9,18,80.40528,10
16,15,13,135.85786,18
17,16,7,16.563831,2
18,10,13,78.62963,10
18,17,13,86.59527,11
19,18,13,19.44784,2
20,19,20,31.748306,4
21,15,13,139.69106,18
22,16,18,70.76938,9
22,21,29,160.36584,21
23,20,29,78.80647,10
23,22,29,75.96387,10
24,11,7,29.546013,3
24,25,7,70.80209,9
25,12,7,16.6774,2
26,20,29,96.42011,12
27,36,13,79.6746,10
28,4,13,82.1824,10
28,27,13,63.39554,8
29,28,13,49.416042,6
30,6,13,80.20963,10
30,29,13,63.566593,8
31,7,13,79.56851,10
31,30,13,137.30415,18
32,8,13,79.56852,10
32,31,13,136.83139,18
33,9,18,77.47767,10
33,32,13,137.0985,18
34,10,13,78.21092,10
35,12,13,78.4216,10
35,34,13,138.758,18
36,45,13,74.78481,9
37,28,13,74.34224,9
37,36,13,64.18515,8
38,29,13,77.51149,10
38,37,13,51.250233,6
39,30,13,74.97086,9
39,38,13,60.65194,8
39,40,13,137.5988,18
40,31,13,76.6418,10
40,41,13,136.28468,18
41,32,13,73.30113,9
41,42,13,138.98602,18
42,33,18,76.85553,10
42,43,13,103.31573,13
43,44,13,138.40569,18
44,35,13,76.64183,10
45,52,13,68.48712,9
46,45,13,64.25725,8
47,38,13,72.28916,9
47,46,13,50.719627,6
48,39,13,78.00409,10
48,47,13,62.29365,8
49,40,13,77.40307,10
49,48,13,136.2166,18
50,41,13,79.46729,10
50,49,13,139.16183,18
51,44,13,77.895775,10
51,50,13,379.77356,50
52,58,13,86.051125,11
53,48,13,77.89576,10
54,49,13,73.41631,9
54,53,13,134.86179,17
55,50,13,75.91758,10
55,54,13,139.60474,18
56,55,13,241.85191,32
57,51,13,73.6092,9
57,56,13,138.83119,18
58,67,18,75.50249,10
59,58,13,156.1393,20
60,53,13,73.31238,9
60,59,13,23.041643,3
61,54,13,79.98697,10
61,60,13,133.44781,17
62,55,13,75.28167,10
62,61,13,139.45117,18
63,42,18,234.47223,31
63,62,13,99.00991,13
64,63,13,90.717705,12
65,64,13,52.521202,7
66,57,13,78.31393,10
66,65,13,138.37503,18
67,75,13,78.35846,10
68,67,13,155.45546,20
69,60,13,73.41636,9
69,68,13,20.840122,2
70,61,13,72.46683,9
70,69,13,133.906,17
71,63,18,81.617386,10
71,70,13,216.59375,28
72,65,13,77.58674,10
72,71,13,165.37158,22
73,72,13,72.435616,9
74,66,13,74.863495,9
74,73,13,66.73183,8
75,82,13,77.747925,10
76,69,13,104.2473,13
76,75,13,179.61667,23
77,70,13,78.95156,10
77,76,13,137.8963,18
78,71,18,77.15917,10
78,77,13,188.71806,25
79,78,13,38.142685,5
80,72,13,76.33483,10
80,79,13,152.64243,20
81,74,13,79.674774,10
81,80,13,139.7675,18
82,84,18,16.231445,2
83,76,13,51.233917,6
83,82,18,169.28096,22
85,84,18,57.17909,7
86,83,18,54.3855,7
86,85,18,46.776447,6
87,78,18,91.90681,12
87,86,18,355.1034,47
88,80,13,88.04251,11
88,87,18,213.46211,28
89,81,13,86.158485,11
89,88,18,138.15121,18
90,85,13,221.00743,29
91,90,18,44.273567,5
92,91,18,72.647316,9
93,86,18,365.50537,48
93,92,18,209.60149,27
94,93,18,69.50557,9
95,94,18,68.96513,9
96,95,18,51.01246,6
97,96,18,86.05478,11
98,97,7,52.780403,7
