Node Number,"T (7am, No carpool)","T (7am, With carpool)","T (9am, No carpool)","T (9am, With carpool)","T (11am, No carpool)","T (11am, With carpool)","T (Distributed, No carpool)","T (Distributed, With carpool)"
1,267.674,267.635,559.79,366.82,267.77,267.64,314.52,307.01
2,248.82,248.781,535.53,347.62,248.913,248.784,295.654,288.153
3,241.465,241.428,424.55,333.56,241.553,241.43,288.01,280.781
4,238.002,237.965,367.26,326.14,238.084,237.967,284.108,277.29
5,235.162,235.127,348.03,314.346,235.23,235.128,280.168,274.382
6,231.81,231.775,338.553,307.633,231.872,231.775,276.414,271.005
7,224.105,224.071,330.3,299.627,224.167,224.071,268.674,263.298
8,216.503,216.469,322.158,291.728,216.565,216.469,261.039,255.695
9,208.867,208.833,313.982,283.795,208.929,208.833,253.371,248.057
10,203.118,203.083,307.709,277.703,203.178,203.084,247.574,242.304
11,201.136,201.106,292.535,265.258,201.177,201.104,244.028,240.209
12,195.336,195.306,286.39,259.185,195.377,195.305,238.188,234.407
13,228.465,228.43,334.953,304.147,228.136,228.158,272.948,267.609
14,222.779,222.744,328.835,298.223,221.785,222.01,267.056,261.837
15,215.597,215.562,321.199,290.785,213.254,213.846,259.444,254.459
16,209.936,209.902,315.111,284.883,204.522,205.877,252.78,248.318
17,209.135,209.101,314.229,284.031,202.158,203.598,251.025,246.978
18,206.879,206.844,311.745,281.635,203.477,204.237,250.222,245.5
19,207.415,207.381,312.332,282.202,203.844,204.659,250.724,246.02
20,207.984,207.95,312.954,282.803,204.233,205.106,251.256,246.571
21,211.834,211.8,317.137,286.85,208.161,209.068,255.218,250.475
22,209.898,209.864,315.046,284.825,205.54,206.609,253.044,248.424
23,208.959,208.925,314.019,283.833,204.898,205.871,252.166,247.515
24,199.672,199.641,290.983,263.725,199.713,199.64,242.554,238.744
25,196.163,196.132,287.266,260.05,196.203,196.131,239.02,235.234
26,204.66,204.625,309.629,279.478,200.908,201.781,247.931,243.246
27,235.528,235.492,368.4,324.74,235.615,235.494,282.037,274.842
28,233.058,233.03,359.75,319.82,232.874,232.848,278.49,272.01
29,230.61,230.588,347.4,316.014,230.227,230.27,275.28,269.302
30,227.351,227.339,341.53,311.122,226.702,226.829,271.317,265.73
31,220.523,220.53,330.89,300.56,219.151,219.494,263.397,258.193
32,214.052,214.083,320.289,290.034,211.681,212.333,255.964,250.86
33,208.391,208.449,309.669,279.488,204.641,205.741,249.067,243.753
34,201.163,201.163,301.735,272.042,198.372,199.659,242.717,238.445
35,197.696,197.757,291.137,261.998,189.846,193.584,234.101,231.598
36,229.399,229.363,357.18,317.882,229.485,229.365,275.871,268.711
37,229.125,229.105,352.24,314.1,228.655,228.731,273.907,267.712
38,226.302,226.294,341.43,310.143,225.478,225.669,270.322,264.448
39,223.09,223.096,335.928,305.57,221.848,222.17,266.302,260.747
40,216.875,216.919,325.339,295.21,214.298,215.016,258.183,253.217
41,211.266,211.351,314.852,285.167,207.028,208.247,251.13,246.318
42,205.782,205.909,304.156,275.198,200.375,201.783,244.797,239.483
43,202.517,202.677,296.208,267.25,193.379,196.426,236.85,231.544
44,198.143,198.348,285.582,257.011,184.007,189.25,228.442,226.573
45,223.646,223.61,344.6,311.098,223.729,223.612,270.066,262.955
46,222.807,222.795,339.643,307.454,222.151,222.288,267.446,261.162
47,222.145,222.151,335.713,304.578,220.905,221.243,265.378,259.747
48,218.245,218.267,329.897,299.78,216.572,217.041,260.756,255.316
49,212.924,213,319.405,289.539,209.324,210.365,252.702,248.034
50,208.108,208.25,309.088,279.58,201.762,203.631,245.695,241.325
51,196.071,196.433,280.866,252.157,178.019,183.604,222.601,221.329
52,218.377,218.342,336.595,304.901,218.459,218.344,264.751,257.683
53,212.642,212.672,323.626,293.784,210.789,211.321,254.829,249.452
54,208.95,209.053,313.629,283.978,204.656,205.925,247.339,242.967
55,204.896,205.086,303.603,274.31,197.212,199.489,240.963,236.77
56,196.903,197.282,285.575,256.662,181.421,185.84,225.711,223.452
57,192.315,192.803,275.227,246.532,172.357,178.005,216.955,215.807
58,211.757,211.723,328.436,297.759,211.838,211.724,258.105,251.062
